_id,job_name,category
440va,後端工程師 (Web-based Application),Frontend Engineer
8vuq1,Cocos Creator 遊戲開發工程師,General Software Engineer
8scdw,AI影音生成工程師,AI Engineer / Researcher
8qvjh,Python後端軟體工程師【新創工程處】- 台北辦公室(靠近南京復興5號出口),Backend Engineer
80g1d,資料分析師 Data Analyst-助理,Data Scientist / Analyst
8ripk,應用工程師 (AI Agent),AI Engineer / Researcher
5x6rx,軟韌體高級工程師,Embedded / Firmware Engineer
8ktwx,全端 App 開發工程師（Android / iOS / Server）,Fullstack Engineer
8vxe2,AD31974 軟體開發工程師,General Software Engineer
6l4ie,QA Automation Engineer,QA / Automation Engineer
8nhbg,[Corporate] Senior IT Engineer,General Software Engineer
7sx7j,Senior Backend Engineer 資深後端工程師,Backend Engineer
8vdhm,【知名保險公司】SRE/DevOps工程師 (系統管理),DevOps / SRE / Cloud Engineer
8w00g,「建置臺灣英語力語料庫與共同參考架構暨教材編輯輔助系統」計畫數據分析師,Data Scientist / Analyst
7f52h,資料科學家(Data Scientist)-台北(Taipei),AI Engineer / Researcher
8o10x,Platform Engineer_RSBU SWRD,General Software Engineer
8u2py,執行長特助(AI專案管理)(執行長室),AI Engineer / Researcher
8nnsu,Software Developer - 09:00am~18:00pm,General Software Engineer
8n0ae,系統維運工程師(應用科),General Software Engineer
71ewl,AI應用開發工程師(上班地點: 台北、苗栗),AI Engineer / Researcher
8ix5r,AI (LLM) Software Engineer,AI Engineer / Researcher
7fbv6,AI工程師(台北內湖),AI Engineer / Researcher
8w4ml,AI算法/雲端運算平台開發工程師_14943,AI Engineer / Researcher
86aui,機器人控制軟體工程師 (Robot Control Software Engineer),General Software Engineer
8nh6s,Garena - System Operations Engineer 遊戲系統維運工程師,General Software Engineer
8u9yr,Sr. Software Project Manager,Others
81z9y,資料科學家 Data Scientist,Data Scientist / Analyst
6gyzz,全端工程師,Fullstack Engineer
7b3z5,【科技與轉型服務】數位轉型服務-AI與數據分析資深顧問,AI Engineer / Researcher
8o4g1,Sr. Backend Engineer - Product security platform,Backend Engineer
8t9ak,LLM 應用工程師 / LLM Application Engineer,AI Engineer / Researcher
8vwj9,【北士科】SDET 測試開發工程師,QA / Automation Engineer
8ry0k,軟韌體自動化測試開發工程師_14442,QA / Automation Engineer
80zs2,技術支援工程師,General Software Engineer
7xem0,【STAFF】ERP/PLM系統流程規劃設計師 (台北),Others
70c5w,數據科技部-數據分析師,Data Scientist / Analyst
7015h,AI/機器學習研發工程師｜ AI/ML Engineer,AI Engineer / Researcher
7hf8u,軟體工程師 Software Engineer,General Software Engineer
8vx6h,【Ubiik Internship Program】【台北】軟體測試實習生 Software Test Engineer (Intern),QA / Automation Engineer
8pth3,D01-自動化工程師(AE)_旅遊科技部_技術研發組,QA / Automation Engineer
8vykp,SSD Firmware Engineer(Taipei/Hsinchu),AI Engineer / Researcher
886zg,氣象研究助理(計畫約聘/駐點氣象署),Others
