_id,salaryMin,salaryMax
8he8l,70000,100000
87dgr,50000,80000
8kpq5,65000,80000
59at4,61538,84615
8p29d,50000,80000
8sexf,62162,89611
8fdzd,35000,50000
83a0u,70000,100000
7hzp1,50000,90000
7g01y,50000,80000
8dk3n,60000,120000
8492u,40000,60000
7ccau,53846,92307
89cg5,43000,50000
8vhh2,40000,60000
8ucyb,45000,75000
8pfub,42307,60000
830wa,38000,60000
8ip7c,46153,84615
823wf,76923,153846
8p369,40000,65000
82ylh,38000,60000
8vf6d,70000,90000
81z9t,50000,92307
7s1og,45000,70000
877kf,53846,123076
8vnuu,40000,60000
52eve,60000,85000
4cqqc,70000,100000
63qeu,38000,50000
8ozql,38000,65000
8mc5i,50000,70000
8tu14,60000,100000
8t66m,50000,80000
7ds5k,40000,80000
8chdt,40000,80000
7f3t5,61538,115384
81d8t,92307,138461
82xj8,69230,153846
7ebl7,50000,120000
8mn25,69230,84615
8q81k,50000,95000
8te7c,45000,100000
8txtu,32000,60000
7le62,32000,42000
8qf4c,42000,75000
8m5re,45000,80000
8q9ix,50000,90000
8od2l,76923,115384
67cxo,35000,60000
8sf1z,50000,80000
87yuy,50000,80000
8rpx6,45000,100000
8p45q,40000,60000
8gclj,92307,207692
8v3jl,90000,140000
880hg,84615,269230
8upbs,100000,130769
6yznf,35000,50000
4ozef,62162,89611
8oi13,40000,60000
84yy9,38461,53846
796uv,55384,71076
8ieo9,100000,120000
8vtvh,50000,70000
8t2ow,60000,100000
8qp1p,50000,75000
8u50b,60000,80000
52mgi,50000,80000
6g0ga,42000,100000
4uc9s,30000,45000
7w1xt,50000,80000
3oac4,35000,75000
8c532,40000,75000
8a06x,40000,70000
7rep1,55000,55000
8iqle,45000,100000
7ifr1,50000,80000
8u90s,76923,115384
88y7o,35115,40160
8w0ru,76923,115384
8v97t,70000,100000
591v0,46153,61538
8ucy6,40000,65000
8v0t6,50000,60000
86yd2,85000,150000
8iz0g,40000,80000
8uoz3,50000,75000
7hvx5,50000,90000
8rbxn,50000,75000
81utd,60000,80000
8vfay,50000,80000
8tsxa,92307,153846
8t9hn,60000,100000
7q7t6,50000,85000
8sn2e,45000,48000
8tt1j,92307,153846
7m75t,69230,103846
8l36v,45000,55000
4qswu,45000,80000
5138i,35000,60000
85n5t,36000,53000
8kf10,100000,169230
8ucye,40000,85000
8uu6k,50000,69230
8qoe5,50000,85000
8soya,61538,92307
7ibvb,50000,100000
50c7h,50000,80000
89mxn,48000,95000
8vc1r,76923,92307
85b8d,50000,80000
8kafo,63076,123076
8sxkr,76923,76923
8otz9,70000,100000
88sty,40000,100000
8ka2z,61538,115384
8upio,50000,70000
6u2gg,45000,60000
