_id,description
8q6g9,Node.js
8j7pd,Python
8mx4q,Python
8mx4q,C++
8mx4q,tensorflow
8mx4q,Keras
7krs7,C#
7krs7,Python
7krs7,ETL
7krs7,Github
8n951,Python
8n951,R
8n951,MS SQL
8n951,MySQL
8n951,AWS
8n951,Excel
8n951,PowerPoint
8n951,Word
8n951,Tableau
8ti6d,Python
8ti6d,Java
8ti6d,Tableau
8ti6d,MySQL
8ti6d,ETL
7n2l7,Linux
7n2l7,Git
7n2l7,C
7n2l7,Python
8q23n,Python
8q23n,Git
8tpyz,Linux
8tpyz,C++
8tpyz,Python
8trsy,C++
8trsy,Python
8trsy,IoT
8trsy,MES
8q6w2,MS SQL
8q6w2,AWS
8q6w2,Python
8v9e6,MySQL
8v9e6,Python
8v9e6,JIRA
8v9e6,ETL
8cy5n,Linux
8cy5n,Python
8cy5n,LLM
88tmi,Shell
88tmi,Power BI​
88tmi,Firebase
88tmi,Google Analytics
88tmi,Tableau
88tmi,RDBMS
88tmi,PostgreSQL
88tmi,Oracle
88tmi,ETL
88tmi,Database Management
88tmi,Python
88tmi,Git
88tmi,Github
88tmi,Linux
7ihuk,ETL
7ihuk,MS SQL
8relc,Linux
8relc,Python
8relc,MS SQL
8jvge,Java
8jvge,MySQL
8jvge,PL/SQL
8jvge,PostgreSQL
8jvge,AWS
8jvge,Node.js
8jvge,JIRA
8w1vp,Excel
8te5p,Tableau
8te5p,Looker studio
8te5p,Power BI​
84xyg,ETL
84xyg,Oracle
84xyg,Tableau
84xyg,Power BI​
8phhn,Java
8phhn,Excel
8phhn,Outlook
8phhn,PowerPoint
8phhn,Word
8t66i,Github
8t66i,Git
8t66i,Python
8t66i,ETL
8t66i,Informatica
8t66i,MySQL
8t66i,PostgreSQL
8t66i,RDBMS
81zdc,ETL
81zdc,Informatica
81zdc,MS SQL
81zdc,MySQL
81zdc,Oracle
81zdc,Data Marts
83d0r,ETL
37tef,Linux
37tef,Windows 2003
37tef,Cognos
37tef,ETL
37tef,Informatica
37tef,MS SQL
37tef,Oracle
37tef,Excel
37tef,Outlook
37tef,PowerPoint
37tef,Word
37tef,Tableau
37tef,Power BI​
37tef,SAP
8v996,MS SQL
8v996,MySQL
8v996,ETL
8v996,PostgreSQL
8v996,Git
8v996,Django
8v996,Python
8v996,Github
8v996,Informatica
8ukbm,MySQL
8ukbm,AWS
8ukbm,ETL
8p8r6,ETL
8p8r6,AWS
8p8r6,Microsoft Azure
8ikwv,Excel
8ikwv,PowerPoint
8ikwv,Word
8qvzq,PostgreSQL
8qvzq,Python
8qvzq,MySQL
8ekil,Linux
8ekil,Git
8ekil,Python
8ekil,MySQL
8ekil,HTML
8ekil,JavaScript
7g1tw,ETL
7g1tw,MS SQL
7g1tw,Python
7g1tw,Shell
7g1tw,C#
8s3nl,Tableau
8s3nl,MySQL
8p7ye,Cloud
8p7ye,hadoop
8p7ye,Tableau
8p7ye,ETL
8p7ye,Python
74xkx,MS SQL
74xkx,MySQL
74xkx,Oracle
74xkx,Data Modeling
7u8qk,Git
7u8qk,Python
7u8qk,MS SQL
8k6xg,MS SQL
8k6xg,MySQL
8k6xg,PostgreSQL
8k6xg,Tableau
8k6xg,Power BI​
8k6xg,SAP
8k6xg,SAP HANA
8ppdw,C#
8ppdw,Power BI​
8ppdw,MS SQL
8tony,C#
8tony,Python
8tony,PL/SQL
8uyns,MySQL
8uyns,Github
8uyns,Database Management
8uyns,Python
8v4qb,Git
8v4qb,ETL
8v4qb,Data Modeling
7bdqr,Shell
7bdqr,Java
7bdqr,Python
7bdqr,Database Administrator
7bdqr,Database Management
7bdqr,ETL
7bdqr,MySQL
7bdqr,OLAP
7bdqr,RDBMS
7bdqr,Data Architect
8qbni,Git
8qbni,Visual C#
8qbni,PostgreSQL
8qbni,e-commerce
8qbni,HTTP
79xm7,SAS
86d2k,Linux
86d2k,Python
86d2k,ANSI SQL
86d2k,ETL
86d2k,MySQL
86d2k,hadoop
86d2k,AWS
1yf7o,DB2
1yf7o,MS SQL
1yf7o,Oracle
8msz8,Python
8msz8,Git
8t6vw,Python
8t6vw,scikit-learn
8t6vw,PyTorch
8t6vw,tensorflow
8t6vw,Microsoft Azure
7gnzs,ETL
7gnzs,MS SQL
7gnzs,Excel
7gnzs,PowerPoint
7gnzs,Power BI​
7gnzs,鼎新
8s7c8,Tableau
7xwf5,ANSI SQL
7xwf5,MS SQL
8ugrj,Java
8ugrj,Python
8ugrj,Scala
8ugrj,ETL
8904l,Database Administrator
8904l,ETL
8904l,MS SQL
8904l,Oracle
8904l,PostgreSQL
85jia,AutoCAD
6ne1i,Linux
6ne1i,MS SQL
6ne1i,Oracle
83q03,Linux
83q03,MS SQL
83q03,Excel
8v5bc,ETL
8v5bc,Informatica
8v5bc,PostgreSQL
8v5bc,MS SQL
8v5bc,Data Modeling
8v5bc,DataStage
8v5bc,PL/SQL
8v5bc,Data Marts
8fvv9,Linux
8fvv9,Github
8fvv9,Git
8fvv9,PHP
8fvv9,MySQL
8fvv9,AWS
8fvv9,CSS
8fvv9,Node.js
8fvv9,VueJS
6shtp,Linux
6shtp,Python
6shtp,MS SQL
8pr4c,Excel
8pr4c,PowerPoint
8pr4c,Word
8pr4c,Power BI​
8pr4c,SAS
8pr4c,SPSS
8pr4c,Python
7dbtt,MS SQL
6xiif,Linux
6xiif,Oracle
6xiif,PostgreSQL
6xiif,AWS
7x4u0,ETL
7x4u0,Oracle
7x4u0,PostgreSQL
8vfbp,Database Administrator
8vfbp,MS SQL
8vfbp,Shell
8qbnl,PostgreSQL
8qbnl,Git
8qbnl,e-commerce
8qbnl,Visual C#
8qbnl,HTTP
88y3w,UNIX
88y3w,Informix
88y3w,MS SQL
88y3w,MySQL
88y3w,PL/SQL
88y3w,PostgreSQL
8k2no,Linux
8k2no,Shell
8k2no,MS SQL
8k2no,MySQL
8k2no,Oracle
8k2no,PostgreSQL
8rh44,Oracle
8rh44,PL/SQL
8nyuz,PostgreSQL
8nyuz,Linux
6cpmh,Java
6cpmh,MS SQL
6cpmh,MySQL
8ae3g,MS SQL
8u985,Linux
7f8rb,ETL
7f8rb,MS SQL
8vo0n,Python
8vo0n,Looker studio
8vo0n,Cloud
8vo0n,ETL
8vo0n,Github
8vo0n,scikit-learn
8708t,MS SQL
8lrxp,Linux
8jisv,Git
8jisv,Capacity Planning
8jisv,Data Modeling
8jisv,Database Administrator
8jisv,Database Management
8jisv,DataStage
8jisv,ETL
8vf5u,Database Administrator
8vf5u,MS SQL
8vf5u,Shell
893g3,Excel
893g3,PowerPoint
893g3,Tableau
893g3,Google Analytics
893g3,Google Tag Manager
893g3,SimilarWeb
893g3,Google Data Studio
8w18m,Python
8w18m,C#
8w18m,Power BI​
8w18m,MS SQL
8w4ol,Python
8w4ol,Excel
8w4ol,Word
8w4ol,PowerPoint
8w4ol,VBA
8w4ol,Tableau
7kabt,Python
7kabt,MS SQL
7kabt,MySQL
7kabt,PostgreSQL
7kabt,hadoop
8ve5q,PostgreSQL
7c52x,C#
7c52x,Database Administrator
7c52x,Database Management
7c52x,ETL
7c52x,MS SQL
7c52x,Tableau
7p7cw,Linux
7p7cw,Python
7p7cw,MS SQL
7p7cw,PostgreSQL
7p7cw,JavaScript
8hjx1,Linux
8hjx1,Python
8hjx1,MLOPs
8ppdi,Python
8ppdi,C#
8ppdi,Power BI​
8ppdi,MS SQL
6s193,Java
6s193,Data Modeling
6s193,Database Administrator
6s193,Database Management
6s193,ETL
6s193,Oracle
6s193,PL/SQL
6s193,RDBMS
6s193,Tableau
6yjxf,Python
6yjxf,ETL
7m03d,MS SQL
89kkk,Database Administrator
89kkk,MySQL
89kkk,AWS
8cy3h,Linux
8cy3h,Github
8cy3h,Git
8cy3h,HTML
8cy3h,JavaScript
8cy3h,CSS
8cy3h,ReactJS
8cy3h,Redux
8cy3h,e-commerce
8q5sd,ETL
86z76,SAP
86z76,SAP HANA
86z76,MS SQL
8lops,Java
8lops,Python
4owz9,Database Administrator
4owz9,Database Management
4owz9,MS SQL
6jd84,Data Guard
6jd84,Database Administrator
6jd84,Database Management
6jd84,MySQL
6jd84,Oracle
6jd84,PL/SQL
6jd84,Toad
87vo6,Git
87vo6,Teradata
87vo6,Hive
87vo6,Data Architect
87vo6,GIS
87vo6,ArcGis
87vo6,Node.js
87vo6,XML
87vo6,AWS
87vo6,hadoop
87vo6,PostgreSQL
87vo6,MS SQL
87vo6,ETL
87vo6,Data Modeling
87vo6,ANSI SQL
87vo6,Python
87vo6,Github
87vo6,UML
87vo6,Linux
7z3gu,Draw
7z3gu,Word
7z3gu,Visio
7z3gu,PowerPoint
7z3gu,Excel
8ls5g,Security
8ls5g,PostgreSQL
8ls5g,MySQL
8ls5g,Cloud
8ls5g,Java
84ajs,MS SQL
8uhg9,Linux
8uhg9,Python
8uhg9,PyTorch
8uhg9,tensorflow
8cxjq,Linux
8cxjq,iOS
8cxjq,Github
8cxjq,Git
8cxjq,Python
8cxjq,SWIFT
8cxjq,e-commerce
82r7e,MySQL
82r7e,PL/SQL
82r7e,PostgreSQL
72jad,Excel
