_id,salaryMin,salaryMax
86d2k,0,0
8pi2u,0,0
8dbr3,0,0
8s444,0,0
8pvrb,0,0
8vhs8,0,0
76p4c,0,0
8msz8,0,0
8qpdf,0,0
8kvn0,0,0
8t6vw,0,0
7islu,0,0
7gnzs,0,0
8ko6k,0,0
7pv3l,0,0
8pkoj,0,0
8soab,0,0
89sj9,50000,9999999
8s7c8,0,0
8r06n,0,0
8acu0,0,0
8rkm1,0,0
8cihf,0,0
7xwf5,39000,9999999
8qkds,70000,9999999
8vs4k,0,0
8mzd3,38000,9999999
8le4s,0,0
88q8l,0,0
8vp6e,0,0
8tick,0,0
8a4t3,0,0
8nayu,0,0
8904l,0,0
8o7aj,0,0
8n0e7,55000,9999999
85jia,0,0
7rzpi,0,0
6ne1i,0,0
8ossk,0,0
7n6u2,0,0
8vg3g,0,0
7xcgt,0,0
8p0av,0,0
83q03,35000,9999999
8t76q,90000,9999999
8unpm,0,0
85s8z,0,0
8gzqj,0,0
8dcse,40000,9999999
7b6bq,0,0
8uiwn,0,0
8v5bc,0,0
88ghy,0,0
89ofn,0,0
6shtp,0,0
8tges,0,0
7z0u3,0,0
85zv6,0,0
8vazf,0,0
83004,0,0
8qqzs,0,0
8pr4c,0,0
84q1l,0,0
8hxmj,0,0
8khja,0,0
8urid,0,0
7dbtt,0,0
8t3nl,0,0
7ba34,0,0
6i5f3,0,0
8oqn5,0,0
4jnp8,0,0
8s9nt,0,0
8w36j,0,0
8vyka,35000,9999999
8slqn,60000,9999999
6xiif,0,0
8lebd,0,0
80zhc,0,0
8va9t,0,0
8pqo4,0,0
8qqbl,0,0
8a39r,0,0
7x4u0,0,0
8vfbp,0,0
87vtd,0,0
8jqjs,0,0
87ryu,0,0
8vms5,0,0
8kqr1,0,0
8ukw6,0,0
8suy1,60000,9999999
8e0h8,0,0
8o041,0,0
8qbnl,0,0
8urlh,0,0
88y3w,56000,9999999
87w7s,0,0
8u1vm,0,0
8rh44,0,0
8pwcr,0,0
82oh0,38461,9999999
7xlmi,0,0
87176,0,0
8a39h,0,0
8v9lv,0,0
872tt,0,0
8nyuz,0,0
8vkmf,0,0
8qilt,0,0
8b6z0,35000,9999999
8ae3g,0,0
6w6ux,0,0
8udtc,0,0
8dl4z,0,0
7f8rb,0,0
8vo0n,0,0
8urs1,50000,9999999
8b54k,0,0
6yr7q,0,0
7m38q,76923,9999999
87kgr,0,0
8v0ke,0,0
8708t,0,0
74966,0,0
8jisv,0,0
87gr6,38000,9999999
8v87s,0,0
8vf5u,0,0
8tqpw,0,0
8vhtf,0,0
8q08v,0,0
8mw2p,0,0
8ux6y,0,0
8w18m,0,0
8sqfg,0,0
8sr26,0,0
8sajh,0,0
87wdl,0,0
7kabt,0,0
8ve5q,0,0
8v2xb,0,0
758eh,0,0
8o5i1,0,0
8nk4l,0,0
7uyye,50000,9999999
8o5gw,0,0
8jdtk,0,0
8kxde,0,0
8el3n,0,0
8o5i2,0,0
7dgpg,0,0
87w15,0,0
8qb6m,0,0
8hjx1,0,0
8fy4n,0,0
79jw0,0,0
89tpy,0,0
8j6cc,0,0
8myy2,38000,9999999
8t7ae,65000,9999999
7mck2,0,0
8nbzv,0,0
8v0jg,40000,9999999
87g3i,0,0
8w3vm,43000,9999999
8b6h3,0,0
8o4bk,0,0
8soun,0,0
8rkyn,0,0
85gwr,0,0
8myy7,38000,9999999
8efnn,32000,9999999
8sndz,92307,9999999
8u3r5,0,0
729sz,0,0
8t0uv,0,0
8w1jb,0,0
8vd65,0,0
8ppdi,0,0
8bgfp,0,0
8tmew,0,0
8vzyn,60000,9999999
8w12z,62000,9999999
6s193,0,0
6yjxf,0,0
8prlk,0,0
8qkzk,0,0
8u9kl,40000,9999999
8trec,0,0
8419l,0,0
8rnbr,0,0
7o1hk,0,0
8tywk,0,0
8a050,0,0
8hztb,0,0
8p6fi,0,0
8vxvl,0,0
8pymw,0,0
868zb,0,0
8hqaj,0,0
89kkk,0,0
8vg2o,0,0
8sq71,0,0
7zy22,0,0
8vw6m,0,0
8ev67,38000,9999999
86vw3,0,0
8ppgm,0,0
8vv0f,0,0
8q5sd,0,0
8vxpd,90000,9999999
86z76,0,0
718kr,30000,9999999
7bsis,0,0
8syk8,100000,9999999
8d9qp,36000,9999999
76y30,30000,9999999
8pm7o,0,0
89ru7,0,0
8rbea,0,0
8czif,0,0
8li23,0,0
8aa36,35000,9999999
8vp1l,0,0
8k30n,0,0
8o5hv,0,0
6xyzl,0,0
8lops,0,0
8vbms,86000,9999999
87umy,0,0
8uoha,0,0
8q0na,0,0
8mpgl,0,0
4owz9,0,0
8uvaj,0,0
8qlb0,50000,9999999
8mspj,0,0
7xq15,0,0
84qn0,0,0
7xr5h,0,0
8v0v7,0,0
8w293,0,0
8p4jy,0,0
8jm4g,0,0
8donp,76923,9999999
8322s,0,0
8l2ub,0,0
8sw6u,53846,9999999
8vbw3,0,0
7o0le,50000,9999999
6i40b,0,0
8ut83,0,0
8u8ct,0,0
8g4hn,0,0
6jd84,0,0
8rn2w,0,0
8uhy0,0,0
8nkgi,0,0
8uav2,0,0
6u7bu,0,0
8r9t4,30000,9999999
8m3qp,40000,9999999
8sjmu,0,0
87vo6,0,0
8vcfa,0,0
3l8hf,0,0
8uk72,0,0
8k0ya,0,0
8k4sq,0,0
7z3gu,0,0
7n2mw,0,0
8vmyw,0,0
8vmog,0,0
8n6l5,0,0
8o5hr,0,0
8sf1j,0,0
705j6,0,0
8s24w,0,0
8si6i,0,0
68x6w,0,0
8pfo4,0,0
8g4qf,0,0
8qgs9,0,0
8v0up,0,0
8i129,0,0
7hq5w,0,0
8utth,0,0
7igfz,0,0
64krq,0,0
7q4bo,0,0
8khvm,0,0
8nrgf,0,0
6vzmi,55000,9999999
8b1ag,55000,9999999
8e43k,0,0
8uj44,0,0
7wvyt,50000,9999999
8s7pq,0,0
8i5bh,0,0
6hn0f,50000,9999999
80pr3,0,0
8ce8a,0,0
8hfmf,0,0
8rf3o,0,0
8srkv,40000,9999999
8uib3,0,0
7ffzh,0,0
7c60v,80000,9999999
8s28y,40000,9999999
7t6fy,75000,9999999
843nr,0,0
8a39q,0,0
8uip5,0,0
8j2c1,0,0
8hqw7,0,0
8tmoy,0,0
8vq1r,0,0
85cj0,0,0
8w1w6,0,0
8sha3,0,0
8w1t8,0,0
77nzv,0,0
83yx7,0,0
8b4a1,0,0
8nx1n,0,0
8fbpl,92307,9999999
7wgle,60000,9999999
3wmi5,0,0
8tk1g,0,0
8imbd,60000,9999999
8usr2,80000,9999999
8rh71,0,0
86l0m,0,0
8p75u,40000,9999999
8pcrx,0,0
8n911,44000,9999999
8o9pp,0,0
7s3xz,0,0
8hqzb,0,0
788ys,75000,9999999
8uh7c,0,0
8nnei,45000,9999999
8vg4q,0,0
8uj3i,0,0
8cx86,55000,9999999
8nfht,0,0
8lg3e,0,0
8sf46,0,0
8sbjt,0,0
8vulb,0,0
88oyo,0,0
7h0o4,0,0
8svj4,0,0
8vnd2,0,0
8icg4,0,0
8qfg0,0,0
8jou5,0,0
8vjbx,0,0
8t3cn,0,0
8jqsr,0,0
8e9fi,45000,9999999
8msn8,0,0
8k864,0,0
8dhfj,0,0
8ls5g,0,0
7kq64,70000,9999999
8na01,0,0
8twc9,0,0
8shry,0,0
8u93b,0,0
8d57b,0,0
8tt4e,0,0
66j5y,50000,9999999
84ajs,0,0
8nktz,0,0
8uga6,0,0
7v1ot,0,0
7w3vq,0,0
6fgsf,0,0
8ngji,60000,9999999
8j2e0,100000,9999999
79dmh,0,0
89ofx,0,0
8uhg9,0,0
8ufz7,75000,9999999
895jc,45000,9999999
7hncz,80000,9999999
8k7u8,0,0
7yhsd,0,0
8vbom,0,0
8ovx6,0,0
7omi9,0,0
8w3xw,32000,9999999
8vsgw,0,0
7nnhu,37500,9999999
7ty1z,0,0
7yv1a,53846,9999999
80819,0,0
7rle7,0,0
8m55a,0,0
7cgiy,0,0
8sma1,0,0
66jhi,0,0
8m2p8,0,0
8tqsn,0,0
8vyza,0,0
6do9d,0,0
7s6ed,0,0
8jeta,0,0
8l9l9,0,0
3l6qr,0,0
6pt67,0,0
82r7e,0,0
8prxp,0,0
878io,40000,9999999
8ibzy,80000,9999999
8dhep,0,0
5r46h,0,0
8e7by,0,0
8u9r2,0,0
8sfa3,0,0
88m2a,0,0
8tlkm,0,0
7sd8n,0,0
746h1,35000,9999999
8v5i1,0,0
6so54,60000,9999999
8pxiw,0,0
8pr1a,0,0
8vw4w,0,0
8o6by,50000,9999999
8tcjs,0,0
7p5ll,0,0
6ge82,0,0
8ujd5,0,0
8tljk,0,0
8im9r,32000,9999999
8p38y,0,0
8jky7,0,0
8kzd3,0,0
8n5ip,0,0
8dlri,0,0
8daq4,0,0
8unwo,0,0
86p0e,0,0
8vwy9,0,0
7bdqy,0,0
8vzud,0,0
6y1ic,0,0
7ky1h,0,0
8t5vs,0,0
8cvpf,0,0
8qg0q,0,0
8v5s8,45000,9999999
7v2kq,0,0
7dp3x,0,0
8iw69,0,0
8ecfm,0,0
3jn30,0,0
8uqyc,42000,9999999
8m48u,0,0
8u7nj,35000,9999999
8pueu,92307,9999999
7fif3,0,0
8ocmf,0,0
8rvkv,45000,9999999
8qbe8,0,0
8su6h,0,0
8w445,0,0
8qosp,0,0
8vnah,0,0
848if,0,0
8pu60,0,0
8mfqn,0,0
8qvvg,0,0
8uz8o,0,0
8ht6j,0,0
8564a,50000,9999999
8um70,50000,9999999
83lkq,0,0
8q36n,0,0
782sf,45000,9999999
6ts5g,0,0
8hhj9,0,0
8rj9u,0,0
82973,0,0
8tahe,0,0
8udst,0,0
87ux8,55000,9999999
8t338,0,0
8e4a0,0,0
8dhbl,0,0
8troy,0,0
8jevz,0,0
7mt5b,0,0
87u5c,0,0
8nk1j,0,0
84eyc,0,0
8tce3,0,0
8qfff,0,0
8j2jg,0,0
8urv6,0,0
8vd14,0,0
8dqd1,0,0
8m40y,0,0
