_id,job_name
6ttpk,測試工程師/資深測試工程師 Software Development Engineer in Test(SDET)
8dumw,【2026年研發替代役】Machine Learning and Computer Vision Engineer (機器學習與電腦視覺工程師)
8v5zm,【產品開發部】資深全端工程師 Senior Fullstack Engineer
8vz35,TA4825 AI 資深工程師
7rfk2,行政專員(外商金融)
8o4hy,Embedded Cybersecurity Engineer
73nm5,【小樹購】資深後端工程師 Senior Backend Engineer
8vq0s,年後職缺搶先看｜【外貿協會】市場情報中心－專案經理＿OCS_830
440va,後端工程師 (Web-based Application)
8vuq1,Cocos Creator 遊戲開發工程師
8scdw,AI影音生成工程師
8qvjh,Python後端軟體工程師【新創工程處】- 台北辦公室(靠近南京復興5號出口)
80g1d,資料分析師 Data Analyst-助理
8ripk,應用工程師 (AI Agent)
5x6rx,軟韌體高級工程師
8ktwx,全端 App 開發工程師（Android / iOS / Server）
8vxe2,AD31974 軟體開發工程師
6l4ie,QA Automation Engineer
8nhbg,[Corporate] Senior IT Engineer
7sx7j,Senior Backend Engineer 資深後端工程師
8vdhm,【知名保險公司】SRE/DevOps工程師 (系統管理)
8w00g,「建置臺灣英語力語料庫與共同參考架構暨教材編輯輔助系統」計畫數據分析師
7f52h,資料科學家(Data Scientist)-台北(Taipei)
8o10x,Platform Engineer_RSBU SWRD
8u2py,執行長特助(AI專案管理)(執行長室)
8nnsu,Software Developer - 09:00am~18:00pm
8n0ae,系統維運工程師(應用科)
71ewl,AI應用開發工程師(上班地點: 台北、苗栗)
8ix5r,AI (LLM) Software Engineer
7fbv6,AI工程師(台北內湖)
8w4ml,AI算法/雲端運算平台開發工程師_14943
86aui,機器人控制軟體工程師 (Robot Control Software Engineer)
8nh6s,Garena - System Operations Engineer 遊戲系統維運工程師
8u9yr,Sr. Software Project Manager
81z9y,資料科學家 Data Scientist
6gyzz,全端工程師
7b3z5,【科技與轉型服務】數位轉型服務-AI與數據分析資深顧問
8o4g1,Sr. Backend Engineer - Product security platform
8t9ak,LLM 應用工程師 / LLM Application Engineer
8vwj9,【北士科】SDET 測試開發工程師
8ry0k,軟韌體自動化測試開發工程師_14442
80zs2,技術支援工程師
7xem0,【STAFF】ERP/PLM系統流程規劃設計師 (台北)
70c5w,數據科技部-數據分析師
7015h,AI/機器學習研發工程師｜ AI/ML Engineer
7hf8u,軟體工程師 Software Engineer
8vx6h,【Ubiik Internship Program】【台北】軟體測試實習生 Software Test Engineer (Intern)
8pth3,D01-自動化工程師(AE)_旅遊科技部_技術研發組
8vykp,SSD Firmware Engineer(Taipei/Hsinchu)
886zg,氣象研究助理(計畫約聘/駐點氣象署)
8tfut,數位轉型數據架構師
8vwuw,AI工程師-F650
8jxgl,"Machine Learning Engineer, Speech/ASR/TTS/Music Generation"
7nlpu,Machine Learning Engineer 機器學習工程師
7bdre,【研究發展處】大數據資料處理工程師
8ax0e,(ASIC Team) 數位IC設計工程師（*此職缺非研發替代役*）
827of,後端工程師
8vwz4,【台北】AI工程師【OS】
8tj3r,(2026 New College Grad) Digital Design Engineer_(限即將畢業、剛畢業或工作經驗一年以下者)
8ctwm,Technical Project Manager / 技術專案經理
82fm4,韌體工程師（台北）
83n03,Machine Learning Engineer (NLP) 機器學習工程師（自然語言處理）(23090101)
7adje,"軟體研發工程師 (Backend Engineer, PHP)"
8d9q5,Senior Technical Artist / Graphics Programmer
87vf0,元大期貨-交易員(自營部)
8tlc9, AI 演算法工程師
8qiki,自動化測試軟體工程師_14360
8khkq,"【吉隆坡】數據工程師Data Engineer — ""Data Infrastructure Architect"""
8s9ep,AI工程師
8vhbn,Database Administrator
8vq2s,年後職缺搶先看｜【外貿協會】市場情報中心－AI Agent 工程師（AI Agent Engineer）｜OCS_830
76wdy,約聘資料分析師(駐點食藥署)
889qn,數據科技部-資料工程師 / 數據服務架構師
8qtc6,專案開發部_DevOps Engineer
5b9pe,Radar DSP Algorithm Development Engineer
7zniz,【RECCESSARY】綠電助理分析師
8vtw0,軟體工程師_14886
8vfap,後端工程師 (AI產品應用)
8npsb,Machine Learning Engineer - Robot Manipulation 機器學習工程師 - 機器人操控
8dun1,Machine Learning and Signal Processing Engineer (機器學習與訊號處理工程師)
8ttxa,"Lead Associate (經理暨資深顧問), Rewards Data Intelligence, Taiwan"
8o98o,統一超商Python後端軟體工程師(uniopen Junior Backend Engineer)
86m48,Embedded Software Engineer
8qg50,[獨立接案]網站流量優化AI工程師
85p23,(2026 New College Grad) Analog Design Engineer(Power)_(限即將畢業、剛畢業或工作經驗一年以下者)
8q7iu,AI Cloud Operation Manager
8w0v6,QA工程師｜雲端技術專案經驗_台北
6purq,機器學習與人工智慧研發工程師
8jf4u,中華經濟研究院第一研究所誠徵專任計畫助理與計畫輔佐研究員1～2名（國內外經濟、財金、統計、數學等相關學系研究所畢業）
8gizh,資深 DevOps 工程師 Senior DevOps Engineer
8sjrz,(桃園)後端工程師｜區塊鏈工具開發 & 自動化腳本方向
8bhd6,【AI虛擬人】(資深)全端工程師 (Senior) Full Stack Developer
7gsl1,Software Engineer — System Software & Beyond
8uhqz,【豐藝集團 AI 子公司】Regulatory Affairs Specialist 醫療法規事務專員
7dgf0,Software Network Engineer 軟體網路工程師
3omui,"Software Engineer (C/C++, Linux) 軟體開發工程師 - Taipei (Req: 18832)"
7zvdt,系統監控 DevOps 工程師
7r3xj,AI工程師
8uyor,環控 弱電 智慧居家整合工程師
7ufiz,【音訊處理工程師】DSP Engineer
8sbi5,AI/機器學習工程師 AI/ML Engineer | 計算生物 Computational Biology
8oeu7,MIS 工程師（資訊安全 / 端點管理）
8mcsu,雲端數據工程師
8pgjp,AI應用工程師
8qgpd,前端軟體工程師-台北
8lbae,【經營管理】商業分析師 Business Analyst（專案組）
8oko8,軟體測試系統架構工程師_14189
8v3a4,研發部: R&D Engineer_Batteries (資工/數學+AI/ML專長)
8vuuq,全端工程師
8vv2p,Sr. Software Dev Engineer
8te5j,數位醫療服務 -【全端工程師】
89q9w,數據實習工程師 (長期) / Data Engineer Intern
8ria5,"LLM 研發實習生 (AI Research Intern, LLM Focus)(25070101)"
8sf6z,Senior Developer
477n9,Anti-Virus Research Scientist/Engineer 資安防毒分析師 - Taipei (Req: 20410)
6cmoy,【DL/ML】Deep Learning / Machine Learning Engineer (深度學習/機器學習工程師)
82ow9,AI-系統分析設計師/主管
73am4,科技金融_資料工程師
8mx4c,影像處理工程師
8lrzp,Sr. Software Engineer - Linux System (NE)
8v8bf,Support Engineer/Junior Programmer(支援 Microsoft 專案)
84ozd,後端工程師
8mvrc,軟體測試工程師 Software QA Engineer
8v4qf,RF SA工程師(台北)
8qluu,Full-Stack Integration Engineer 全端整合工程師
8teog,Software QA Engineer-SDK
8f6tx,【工程魂召喚中】雷出你的未來！招募 軟體工程師
6sfcs,數位醫療資深後端工程師｜Sr. Backend Engineer
6liq7,Data Engineer
8v0md,Machine Learning Engineer
85lsy,影像處理工程師
8v0if,Operation Engineer(兼職午班 / 假日班）
8syby,軟體工程師 Software Engineer
8cx69,Senior Software Engineer (Backend)
8pfsd,BIM工程師 BIM Engineer
8vx4e,IT Intern IT實習生
7mof7,Software Engineer in Camera
82l4y,自動化測試工程師
87c1w,AI應用串接工程師
5o7vg,數據工程師/Data Engineer
7ic9x,測試工程師 - 軟體 / 自動化(SoftwareQA)
8qef4,資訊工程師(智能服務處)
6vncx,京站-CRM資深數據分析專員
7trsb,技術部-服務可靠性工程師 Site Reliability Engineer
8v1yi,iii☻台北大同區☻讓 AI 與機率決定遊戲樂趣★誠徵【數值機率專員】★掌控機率的魔法師
8s80o,軟體工程師（台北/台中）_14505
8kzkg,SRE Engineer SRE工程師
7befx,誠徵「抗生素抗藥性疾病負擔與影響跨領域整合型評估計畫」駐點計畫下研究助理1名
83q2e,Business Project Analyst
8s6bz,資訊研究助理
8t3oy,Senior Machine Learning Engineer - Cybersecurity
8vsn9,Quantitative Researcher
8uacf,專案助理
8tyah,LH250122-大數據資料工程師(台北總公司)
7bqjo,證券公司資訊人員(應用系統六組)
8utb8,AI應用規劃師
7u6ny,A7-數據暨AI應用專案管理師
8uert,全端工程師
8t1cx,後端軟體設計工程師 (Backend Software Design Engineer)
6nfj4,影音串流工程師 (Video Streaming Engineer)
8jm2q,Software Development Engineer in Test(SDET)
8uxvj,全端工程師、軟體程式開發工程師
8n9di,富邦期貨-法人期權量化研究員
8rmhd,資深後端工程師（Sr. Backend Engineer）
7wutg,I186 Python全端工程師(可遠端工作)
8ta3u,DevOps工程師
8p6el,Software Engineer-Taipei-SGSC-11355
8v92t,【資訊人員】資訊專案管理師(數據管理)-依學經歷核敘
8tm23,網路爬蟲工程師
8qpsc,軟體工程師【數據科學】
7hzhp,AD10601 服務系統後端工程師
7k1tw,後端工程師 Backend Engineer
8r19c,[DI] AI基礎架構工程師  AI Infrastructure Engineer
7ovi4,【新創AI獨角獸】Developer工程師
8fu73,【派駐聯發科/內湖】軟體開發助理工程師
87nyk,風險管理處-系統規劃人員
6omzw,Deep Learning/Machine Learning AI Developer
8e0qu,(Sr.) Software Engineer [SLAM/Navigation Map]
8uy0z,全端工程師、軟體程式開發工程師
8qb1r,自動化軟體開發工程師_14326
8tn3e,軟體工程師
8ste0,交易助理
8pxgc,SAP ERP 工程師 - 內湖_JR202505037
8m01b,後端工程師 Backend Developer
8fvcr,數據工程師
8tq4p,AI 演算法主管／工程師｜影像・影音・Cloud（工業電腦）
8tdh6,【數發中心】資料科學分析師
7ez67,資料分析師
6f8mk,後端工程師
6x70p,Site Reliability Engineer (DevOps)  | 站點可靠性工程師
7ss79,Cybersecurity Support Engineer 網路安全支援工程師 - Taipei (Req: 20033)
7yyvh,【SaaS】資深軟體測試工程師 / Sr. Software Test Engineer ( QA、Automation )
8apl8,AI / 機器學習工程師  |  LLM / AI Agent 開發
6zwzf,Unity遊戲軟體工程師 Unity Game Developer (Mobile Game App)
7h1g3,Deep Learning Engineer/Sr./Principal Engineer
8md2v,【美商電腦龍頭品牌-Procurement Operations Analyst】採購營運分析 | 品牌外商強力招募！| 南港展覽館站旁｜英文交流環境 | KA_828
86poa,智慧建築及能管數據分析師
8ii1s,韌體工程師 (Linux)
8s4rf,資深全端工程師_Senior Full Stack Engineer
8v3ae,研發部: (Senior)R&D Engineer_Batteries (資工/數學+AI/ML專長)
8q8zl,軟體開發工程師
8suko,【VBA開發工程師】#薪資40000起 #具備保險應用程式開發經驗加分_BIS_205
8vodx,Software Reliability Engineer (SRE)
7gu74,軟體研發工程師｜ R&D Software Engineer
7c3kc,資訊助理-學生實習可
7dmt5,AI演算法工程師
8761y,後端工程師 (Backend Developer)
8pq48,LLM研發工程師
8tkj0,【PropTech數位人才招募】資深數據架構師 l AI應用發展部
8kboa,軟體技術經理
8vn90,數位資產投資分析師
8n46u,現場應用實習生 Field Application Intern
8vs0s,【企業永續管理研究中心】後端軟體工程師
7mgua,世新大學知識經濟發展研究院-資料分析師
8vydf,Software Engineer 軟體工程師
8a1ib,數位孿生設計工程師
6o899,Robotics Software Design Engineer
8qlik,Principal Software Engineer (AI / LLM) - 首席軟體工程師
8q25f,資深技術美術 Senior Technical Artist ﹝Programming﹞
8qlbk,Senior Software Engineer (AI / LLM) - 資深軟體工程師
8tphn,"I113 (Sr.)軟體工程師, 全端開發(可遠端工作)"
8r4fj,AI 提示工程師（Prompt Engineer）
8jsbj,資深後端工程師 Backend Developer
85ode,數據技術副理Assistant Manager of Data Technology
7i8a9,AD10614 資安檢測工程師
8gigx,元大證券-計量交易部-資深量化研究員暨交易員（Senior Quantitative Researcher and Trader）
8uqhp,Digital Twin Engineer
8vyz9,Senior Data Engineer
8t1n2,資訊主管
7swyd,【寶雅-台北總公司】系統發展處_軟體工程師
8j1zb,數據分析
8v527,AI 工程師
8snfb,Digitalization Engineer-Taoyuan
7uiwl,量化金融研究員
8urib,技術美術師 (Technical Artist)
7xol5,軟體工程師(L1)
85i67,.NET Core 工程師_7843
8w390,客戶夥伴部_客群經營專員
7fxhq,【幸福企業招募】內湖總部 - 資料分析工程師 (系統開發部)
8r516,研發資深工程師
8vfb8,<AI應用> AI應用工程師(NLP)
8vlw8,【圖佔創易】資深 AI創新專案專員 / AI 創新專員 AI Innovation Lead / Specialist
8vu3v,RD21972 系統軟體工程師(伺服器)
8qy9h,商業分析師丨Business Analyst
8q3w1,【數位增長部】生成式 AI Engineer
8rdva,研發部: R&D Engineer_Batteries (電池+AI/ML專長)
8bdsn,AI工程師_E312000
8mki1,AI Agent 工程師
8tho5,AI 工程師
8cxgu,Senior Software Engineer (Automated QA)
76d79,【風險管理】市場風險管理人員
6v618,[CNS] 雲原生 DevOps／SRE 工程師（Cloud-Native DevOps / SRE Engineer）
79mut,法金_研發支援人員(TA)/歡迎應屆畢業生
8vsfj,【金融商品部】財務工程人員_I00024811
8o0kf,資深AI/機器學習研發工程師｜Senior AI/ML Engineer
73510,資料科學家
75r27,軟體工程師
8cnbo,[總公司]軟體工程師(台北區)
8uzzn,Hybrid QA Engineer
8uzxi,《KABAM Robotic》現場服務工程師(FAE/FSE)
8q3fh,Verification Engineer
8vwlx,《KABAM Robotic》現場服務工程師(FAE/FSE)
7k2f8,【SRE】Site Reliability Engineer / 網站可靠性工程師
8qxu5,資料工程師 (Data Software Engineer)
88qc7,跨平台軟體開發工程師
8v1ma,AI Engineer(AI 工程師)_BODC
8s31b,AI 工程師
8qbcr,【PropTech數位人才】資深全端工程師│實驗店
8j76o,遊戲機率設計工程師
845tm,"網站可靠性工程師 Site Reliability Engineer(SRE)/DevOps Engineer (AWS, Kubernetes)"
8rerd,資產管理處-台股研究員
8k7ao,【115研發替代役】AI開發工程師（生成式AI/LLM應用）
7t18k,Data Analyst
8adcs,【數位驅動】資深手動測試工程師(數數發中心，DDT)_I00012236
8tpdm,資料科學家【瑟宇人工智能】
8l6q7,Edge AI Engineer_RSBU SWRD
8vtgc,Senior Business Operation Specialist
8kq2a,ISP 演算法工程師 / ISP Algorithm Engineer
